Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,C,C_0603_1608Metric,160.595,-109.3,180.0,bottom
C2,C,C_0603_1608Metric,159.895,-107.7,0.0,bottom
C3,C,C_0603_1608Metric,160.595,-99.3,180.0,bottom
C4,C,C_0603_1608Metric,159.995,-97.8,0.0,bottom
C5,C,C_0603_1608Metric,160.595,-89.3,180.0,bottom
C6,C,C_0603_1608Metric,160.095,-87.8,0.0,bottom
C7,C,C_0603_1608Metric,163.995,-108.8,-90.0,top
C8,C,C_0603_1608Metric,159.595,-108.7,90.0,top
C9,C,C_0603_1608Metric,160.995,-99.8,180.0,top
C10,C,C_0603_1608Metric,159.995,-98.0,0.0,top
C11,C,C_0603_1608Metric,160.795,-89.5,180.0,top
C12,C,C_0603_1608Metric,159.795,-87.9,0.0,top
J1,Conn_02x15_Odd_Even,PinSocket_2x15_P2.54mm_Horizontal,149.895,-80.0,0.0,top
J2,Conn_02x15_Odd_Even,PinHeader_2x15_P2.54mm_Horizontal,169.995,-80.0,0.0,top
U1,TXU0104PWR,TXU0104PWR,159.895,-104.0,90.0,bottom
U2,TXU0104PWR,TXU0104PWR,159.895,-83.5,90.0,bottom
U3,TXU0104PWR,TXU0104PWR,159.895,-93.5,90.0,bottom
U4,TXU0104PWR,TXU0104PWR,159.895,-83.5,270.0,top
U5,TXU0104PWR,TXU0104PWR,159.895,-104.0,270.0,top
U6,TXU0104PWR,TXU0104PWR,159.895,-93.5,270.0,top
